ds,yhat,yhat_lower,yhat_upper
2025-10-31,7750221.464738591,5882928.909116618,9805375.005293164
2025-11-30,10075547.76190227,8088470.788819562,12098528.500082677
2025-12-31,9256310.550455952,7137553.011881745,11369961.881634237
2026-01-31,9610960.784255847,7725630.689969549,11570347.410396427
2026-02-28,10116145.48700292,8026814.316339023,12338452.484870039
2026-03-31,10184444.520880576,8362417.610161999,12385430.89933067
2026-04-30,10499066.383962655,8439559.106816467,12547150.860595189
2026-05-31,11180978.542302089,9024164.743480552,13280545.862600867
2026-06-30,12850510.276295053,10795805.500161551,14975188.757363658
2026-07-31,12619583.956822028,10579606.776410092,14684251.522672905
2026-08-31,10813484.65962469,8797292.505257089,12939741.56318937
2026-09-30,10298879.047385313,8188838.254244955,12379042.42802099
2026-10-31,9771174.485372588,7907044.71456032,11885938.309696253
2026-11-30,12640897.871633291,10568741.266919972,14658418.957462626
2026-12-31,11525590.11928418,9507131.438654475,13726101.268973466
2027-01-31,12029234.932711927,10004226.188774638,14076107.338913867
2027-02-28,12616554.500572113,10596163.118499799,14719617.425470607
2027-03-31,12519553.20827302,10478656.99348211,14766601.496288324
2027-04-30,12773488.356103448,10678002.991936697,14994011.484016875
2027-05-31,12966056.665877923,10953721.944030987,15118108.588168774
2027-06-30,15675104.717746725,13636402.985982098,17787685.336664926
2027-07-31,15217551.426751403,13099177.321624838,17229109.92910251
2027-08-31,13150122.158170382,11141652.782768782,15328289.74458103
2027-09-30,12566117.589666855,10492704.700942107,14667626.632503716
